key,zh-CN,en
ui.update.percent,{percent}%,{percent}%
err.account_exists,该账号已被注册,This account is already registered
err.invalid_credentials,账号或密码错误,Incorrect account or password
err.invalid_access_token,登录状态已失效，请重新登录,"Session expired, please log in again"
err.invalid_refresh_token,登录状态已失效，请重新登录,"Session expired, please log in again"
err.session_changed,登录状态已变更，请重试,"Session changed, please retry"
err.player_data_changed,玩家数据已发生变化，请刷新后重试,"Player data changed, please refresh and retry"
err.avatar_not_owned,尚未拥有该头像,You do not own this avatar
err.wallpaper_not_owned,尚未拥有该壁纸,You do not own this wallpaper
err.no_owned_wallpaper,没有已拥有壁纸,No owned wallpaper
err.avatar_not_available,该头像不存在或尚未启用,This avatar is unavailable
err.wallpaper_not_available,该壁纸不存在或尚未启用,This wallpaper is unavailable
err.item_already_owned,已拥有该商品,Item already owned
err.already_owned,已拥有,Already owned
err.insufficient_gold,金币不足,Not enough gold
err.invalid_draw_count,一次抽取数量须为 1-10,Draw count must be 1-10
err.card_pack_not_available,该卡包不存在或尚未启用,This pack is unavailable
err.card_pack_pool_mismatch,卡包与卡池不匹配,Pack and pool mismatch
err.pack_pool_missing,该卡包未配置卡池,This pack has no pool configured
err.gacha_config_empty,尚未导入抽卡配置,Gacha config is empty
err.all_cards_empty,尚未导入全部卡牌,Card catalog is empty
err.gacha_pool_not_found,卡池不存在,Pool not found
err.game_config_not_published,游戏配置尚未发布,Game config is not published
err.validation_error,玩家资料格式不正确,Invalid player profile
err.nickname_invalid,昵称需为 2-24 个字符且不能包含控制字符,Nickname must be 2-24 characters without control characters
err.rate_limited,操作过于频繁，请稍后再试,"Too many requests, please try again later"
err.network_error,无法连接服务器，请检查网络,Cannot connect to the server
err.http_error,服务器请求失败，请稍后再试,"Server request failed, please try again later"
err.bad_request,请求格式不正确,Invalid request format
err.not_found,请求的资源不存在,The requested resource does not exist
err.method_not_allowed,请求方法不受支持,Method not allowed
err.payload_too_large,请求内容过大,Payload too large
err.unsupported_media_type,请求内容类型不受支持,Unsupported media type
err.request_failed,请求处理失败,Request failed
err.username_invalid,账号需为 3-24 位英文、数字或下划线,"Account must be 3-24 letters, numbers, or underscores"
err.password_length,密码长度需为 8-128 位,Password must be 8-128 characters
err.password_weak,密码过弱,Password is too weak
err.password_mismatch,两次输入的密码不一致,Passwords do not match
err.login_failed,登录失败，请稍后重试,"Login failed, please try again later"
err.enter_lobby_failed,进入大厅失败，请稍后再试,"Failed to enter lobby, please try again later"
err.purchase_failed,购买失败,Purchase failed
err.purchase_failed_retry,购买失败，请稍后重试,"Purchase failed, please try again later"
err.draw_failed,抽卡失败,Draw failed
err.draw_failed_retry,抽卡失败，请稍后重试,"Draw failed, please try again later"
err.card_art_load_failed,卡图加载失败，请稍后重试,"Failed to load card art, please try again later"
err.pool_load_failed,卡池加载失败，请稍后重试,"Failed to load card pool, please try again later"
err.avatar_list_load_failed,头像列表加载失败，请稍后重试,"Failed to load avatars, please try again later"
err.rename_failed,修改昵称失败，请稍后重试,"Failed to change nickname, please try again later"
err.change_avatar_failed,修改头像失败，请稍后重试,"Failed to change avatar, please try again later"
err.change_wallpaper_failed,壁纸切换失败,Failed to change wallpaper
err.invalid_response,服务器响应无效，请稍后再试,"Invalid server response, please try again later"
err.invalid_response.login_incomplete,服务器返回的登录数据不完整,Login data from server is incomplete
err.invalid_response.player_mismatch,服务器返回的玩家身份不一致,Player identity from server does not match
err.invalid_response.draw_incomplete,服务器返回的抽卡数据不完整,Draw data from server is incomplete
err.invalid_response.pool_incomplete,服务器返回的卡池数据不完整,Pool data from server is incomplete
err.invalid_response.game_config_invalid,服务器返回的游戏配置无效,Game config from server is invalid
err.invalid_response.game_config_etag,服务器响应缺少游戏配置版本标识,Server response is missing the game config version
err.content_update_failed,内容更新失败,Content update failed
err.hot_update_boot_missing,HotUpdateEntry.Boot 启动接口不存在。,HotUpdateEntry.Boot is missing.
err.aot_metadata_failed,读取 AOT 元数据失败：{file}，{error},"Failed to read AOT metadata: {file}, {error}"
err.content_version_failed,获取内容版本失败：{error},Failed to fetch content version: {error}
err.content_manifest_invalid,内容清单无效：{message},Invalid content manifest: {message}
err.hot_update_dll_url_invalid,热更 DLL 地址无效：{message},Invalid hot-update DLL URL: {message}
err.hot_update_dll_download_failed,下载热更 DLL 失败：{error},Failed to download hot-update DLL: {error}
err.hot_update_dll_checksum_failed,热更 DLL 的长度或 SHA-256 校验失败。,Hot-update DLL size or SHA-256 check failed.
err.hot_update_cache_write_failed,写入热更缓存失败：{message},Failed to write hot-update cache: {message}
err.unknown_network,未知网络错误,Unknown network error
shop.avatar.00,头像00,Avatar 00
shop.avatar.01,头像01,Avatar 01
shop.avatar.02,头像02,Avatar 02
shop.avatar.03,头像03,Avatar 03
shop.avatar.04,头像04,Avatar 04
shop.avatar.05,头像05,Avatar 05
shop.avatar.06,头像06,Avatar 06
shop.avatar.07,头像07,Avatar 07
shop.avatar.08,头像08,Avatar 08
shop.avatar.09,头像09,Avatar 09
shop.avatar.10,头像10,Avatar 10
shop.avatar.11,头像11,Avatar 11
shop.avatar.12,头像12,Avatar 12
shop.avatar.13,头像13,Avatar 13
shop.wallpaper.00,壁纸00,Wallpaper 00
shop.wallpaper.01,壁纸01,Wallpaper 01
shop.wallpaper.02,壁纸02,Wallpaper 02
shop.wallpaper.03,壁纸03,Wallpaper 03
shop.wallpaper.04,壁纸04,Wallpaper 04
shop.wallpaper.05,壁纸05,Wallpaper 05
shop.wallpaper.06,壁纸06,Wallpaper 06
shop.wallpaper.07,壁纸07,Wallpaper 07
shop.wallpaper.08,壁纸08,Wallpaper 08
shop.wallpaper.09,壁纸09,Wallpaper 09
shop.wallpaper.10,壁纸10,Wallpaper 10
shop.pack.01,卡包00,Card Pack 01
shop.pack.02,卡包01,Card Pack 02
shop.pack.03,卡包02,Card Pack 03
shop.pack.04,卡包03,Card Pack 04
shop.pack.05,卡包04,Card Pack 05
shop.pack.06,卡包05,Card Pack 06
shop.pack.07,卡包06,Card Pack 07
shop.pack.08,卡包07,Card Pack 08
shop.pack.09,卡包08,Card Pack 09
shop.pack.10,卡包09,Card Pack 10
shop.pack.11,卡包10,Card Pack 11
card.00213326.name,E-紧急呼唤,E - Emergency Call
card.00213326.types,[魔法],[Spell]
card.00213326.desc,①：从卡组把1只「元素英雄」怪兽加入手卡。,"Add 1 ""Elemental HERO"" monster from your Deck to your hand."
card.01639384.name,神龙骑士 闪耀,Divine Dragon Knight Felgrand
card.01639384.types,[怪兽|效果|超量] 战士/光,[Monster|Effect|Xyz] Warrior/LIGHT
card.01639384.desc,"8星怪兽×2
①：1回合1次，把这张卡1个超量素材取除，以场上1只表侧表示怪兽为对象才能发动。这个回合，作为对象的怪兽效果无效，不受这张卡以外的效果影响。这个效果在对方回合也能发动。","2 Level 8 monsters
Once per turn, during either player's turn: You can detach 1 Xyz Material from this card, then target 1 face-up monster on the field; this turn, its effects are negated, but it is unaffected by other card effects."
card.01948619.name,特异英雄 神杖先驱,Xtra HERO Wonder Driver
card.01948619.types,[怪兽|效果|连接] 战士/光,[Monster|Effect|Link] Warrior/LIGHT
card.01948619.desc,"「英雄」怪兽2只
这个卡名的①的效果1回合只能使用1次。
①：作为这张卡所连接区的自己场上有「英雄」怪兽召唤·特殊召唤的场合，以自己墓地的「融合」魔法卡、「变化」速攻魔法卡的其中1张为对象发动。那张卡在自己场上盖放。
②：这张卡被战斗或者对方的效果破坏送去墓地的场合才能发动。从手卡把1只「英雄」怪兽特殊召唤。","2 ""HERO"" monsters
If a ""HERO"" monster is Normal or Special Summoned to your zone this card points to: Target 1 ""Polymerization"" Spell Card, 1 ""Fusion"" Spell Card, or 1 ""Change"" Quick-Play Spell Card in your GY; Set that target. You can only activate this effect of ""Xtra HERO Wonder Driver"" once per turn. If this card is destroyed by battle and sent to the GY, or if this card in your possession is destroyed by an opponent's card effect and sent to your GY: Special Summon 1 ""HERO"" monster from your hand."
card.02129638.name,青眼双爆裂龙,Blue-Eyes Twin Burst Dragon
card.02129638.types,[怪兽|效果|融合] 龙/光,[Monster|Effect|Fusion] Dragon/LIGHT
card.02129638.desc,"「青眼白龙」＋「青眼白龙」
这张卡用融合召唤以及以下方法才能特殊召唤。
●把自己的怪兽区域的上记的卡送去墓地的场合可以从额外卡组特殊召唤。
①：这张卡不会被战斗破坏。
②：这张卡在同1次的战斗阶段中最多2次可以向怪兽攻击。
③：这张卡的攻击没让对方怪兽被破坏的伤害步骤结束时才能发动。那只对方怪兽除外。","""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon""
Must be either Fusion Summoned, or Special Summoned by sending the above monsters you control to the GY (in which case you do not use ""Polymerization""). Cannot be destroyed by battle. This card can make up to 2 attacks on monsters during each Battle Phase. At the end of the Damage Step, when this card attacks an opponent's monster, but the opponent's monster was not destroyed by the battle: You can banish that opponent's monster."
card.02530830.name,银河眼光波刃龙,Galaxy-Eyes Cipher Blade Dragon
card.02530830.types,[怪兽|效果|超量] 龙/光,[Monster|Effect|Xyz] Dragon/LIGHT
card.02530830.desc,"9星怪兽×3
这张卡也能在自己场上的8阶「银河眼」超量怪兽上面重叠来超量召唤。这张卡不能作为超量召唤的素材。
①：1回合1次，把这张卡1个超量素材取除，以场上1张卡为对象才能发动。那张卡破坏。
②：超量召唤的这张卡被对方怪兽的攻击或者对方的效果破坏送去墓地的场合，以自己墓地1只「银河眼光波龙」为对象才能发动。那只怪兽特殊召唤。","3 Level 9 monsters
You can also Xyz Summon this card by using a Rank 8 ""Galaxy-Eyes"" Xyz Monster you control as material. (Transfer its materials to this card.) Cannot be used as material for an Xyz Summon. Once per turn: You can detach 1 material from this card, then target 1 card on the field; destroy it. If this Xyz Summoned card you control, is destroyed by battle with an opponent's attacking monster, or destroyed by an opponent's card effect, and sent to your GY: You can target 1 ""Galaxy-Eyes Cipher Dragon"" in your GY; Special Summon it."
card.06853254.name,复活之福音,Return of the Dragon Lords
card.06853254.types,[魔法],[Spell]
card.06853254.desc,"①：以自己墓地1只7·8星的龙族怪兽为对象才能发动。那只怪兽特殊召唤。
②：自己场上的龙族怪兽被战斗·效果破坏的场合，可以作为代替把墓地的这张卡除外。","Target 1 Level 7 or 8 Dragon monster in your GY; Special Summon it. If a Dragon monster(s) you control would be destroyed by battle or card effect, you can banish this card from your GY instead."
card.08165596.name,No.90 银河眼光子卿,Number 90: Galaxy-Eyes Photon Lord
card.08165596.types,[怪兽|效果|超量] 战士/光,[Monster|Effect|Xyz] Warrior/LIGHT
card.08165596.desc,"8星怪兽×2
这个卡名的②③的效果1回合各能使用1次。
①：有「光子」卡在作为超量素材中的这张卡不会被效果破坏。
②：对方把怪兽的效果发动时，把这张卡1个超量素材取除才能发动。那个效果无效。取除的超量素材是「银河」卡的场合，再把那只怪兽破坏。
③：对方回合才能发动。从卡组选1张「光子」卡或「银河」卡加入手卡或作为这张卡的超量素材。","2 Level 8 monsters
If this card has a ""Photon"" card as material, it cannot be destroyed by card effects. You can only use each of the following effects of ""Number 90: Galaxy-Eyes Photon Lord"" once per turn.
● When an opponent's monster activates its effect (Quick Effect): You can detach 1 material from this card; negate that monster's effect, and if the detached material was a ""Galaxy"" card, destroy that card.
● During your opponent's turn (Quick Effect): You can take 1 ""Photon"" or ""Galaxy"" card from your Deck, and either add it to your hand or attach it to this card as material."
card.08240199.name,青色眼睛的贤士,Sage with Eyes of Blue
card.08240199.types,[怪兽|效果|调整] 魔法师/光,[Monster|Effect|Tuner] Spellcaster/LIGHT
card.08240199.desc,"这个卡名的②的效果1回合只能使用1次。
①：这张卡召唤时才能发动。从卡组把「青色眼睛的贤士」以外的1只光属性·1星调整加入手卡。
②：把这张卡从手卡丢弃，以自己场上1只效果怪兽为对象才能发动。那只怪兽送去墓地，从卡组把1只「青眼」怪兽特殊召唤。","When this card is Normal Summoned: You can add 1 Level 1 LIGHT Tuner from your Deck to your hand, except ""Sage with Eyes of Blue"". You can discard this card, then target 1 Effect Monster you control; send it to the GY, and if you do, Special Summon 1 ""Blue-Eyes"" monster from your Deck. You can only use this effect of ""Sage with Eyes of Blue"" once per turn."
card.08491308.name,闪刀姬-飒天,Sky Striker Ace - Hayate
card.08491308.types,[怪兽|效果|连接] 机械/风,[Monster|Effect|Link] Machine/WIND
card.08491308.desc,"风属性以外的「闪刀姬」怪兽1只
自己对「闪刀姬-飒天」1回合只能有1次特殊召唤。
①：这张卡可以直接攻击。
②：这张卡进行战斗的伤害计算后才能发动。从卡组把1张「闪刀」卡送去墓地。","1 non-WIND ""Sky Striker Ace"" monster
You can only Special Summon ""Sky Striker Ace - Hayate(s)"" once per turn. This card can attack directly. After damage calculation, if this card battled: You can send 1 ""Sky Striker"" card from your Deck to the GY."
card.08949584.name,英雄到来,A Hero Lives
card.08949584.types,[魔法],[Spell]
card.08949584.desc,①：自己场上没有表侧表示怪兽存在的场合，把基本分支付一半才能发动。从卡组把1只4星以下的「元素英雄」怪兽特殊召唤。,"If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower ""Elemental HERO"" monster from your Deck."
card.09411399.name,命运英雄 魔性人,Destiny HERO - Malicious
card.09411399.types,[怪兽|效果] 战士/暗,[Monster|Effect] Warrior/DARK
card.09411399.desc,①：把墓地的这张卡除外才能发动。从卡组把1只「命运英雄 魔性人」特殊召唤。,"You can banish this card from your GY; Special Summon 1 ""Destiny HERO - Malicious"" from your Deck."
card.09726840.name,闪刀起动-连刀,Sky Striker Mobilize - Linkage!
card.09726840.types,[魔法|速攻],[Spell|Quick-Play]
card.09726840.desc,①：自己的主要怪兽区域没有怪兽存在的场合才能发动。自己场上1张其他卡送去墓地，从额外卡组把1只「闪刀姬」怪兽在额外怪兽区域特殊召唤。自己的场上·墓地有光属性和暗属性的「闪刀姬」怪兽各存在的场合，这个效果特殊召唤的怪兽的攻击力上升1000。这张卡的发动后，直到回合结束时自己不是「闪刀姬」怪兽不能从额外卡组特殊召唤。,"If you control no monsters in your Main Monster Zone: You cannot Special Summon monsters from the Extra Deck for the rest of this turn after this card resolves, except ""Sky Striker Ace"" monsters, also send 1 other card you control to the GY, and if you do, Special Summon 1 ""Sky Striker Ace"" monster from your Extra Deck to the Extra Monster Zone, and if you have at least 1 LIGHT and 1 DARK ""Sky Striker Ace"" monsters on your field and/or in your GY, the Summoned monster gains 1000 ATK."
card.10186633.name,EN切换,EN Shuffle
card.10186633.types,[魔法],[Spell]
card.10186633.desc,"这个卡名的①②的效果1回合各能使用1次。
①：选自己场上1只「元素英雄」怪兽或者「新空间侠」怪兽回到持有者卡组，和那只怪兽卡名不同的1只「元素英雄」怪兽或者「新空间侠」怪兽从卡组特殊召唤。
②：把墓地的这张卡除外才能发动。从自己墓地选「元素英雄」怪兽和「新空间侠」怪兽各1只或者「元素英雄 新宇侠」1只回到卡组。那之后，自己从卡组抽1张。","Shuffle 1 ""Elemental HERO"" or ""Neo-Spacian"" monster you control into the Deck, and if you do, Special Summon 1 ""Elemental HERO"" or ""Neo-Spacian"" monster with a different name from your Deck. You can banish this card from your GY; shuffle from your GY into the Deck, either 1 ""Elemental HERO"" monster and 1 ""Neo-Spacian"" monster, OR 1 ""Elemental HERO Neos"", then draw 1 card. You can only use each effect of ""EN Shuffle"" once per turn."
card.12421694.name,闪刀姬-魁奈,Sky Striker Ace - Kaina
card.12421694.types,[怪兽|效果|连接] 机械/地,[Monster|Effect|Link] Machine/EARTH
card.12421694.desc,"地属性以外的「闪刀姬」怪兽1只
自己对「闪刀姬-魁奈」1回合只能有1次特殊召唤。
①：这张卡特殊召唤的场合，以对方场上1只表侧表示怪兽为对象才能发动。那只怪兽直到对方回合结束时不能攻击。
②：只要这张卡在怪兽区域存在，每次自己把「闪刀」魔法卡的效果发动，自己回复100基本分。","1 non-EARTH ""Sky Striker Ace"" monster
If this card is Special Summoned: You can target 1 face-up monster your opponent controls; it cannot attack until the end of your opponent's turn. Each time you activate a ""Sky Striker"" Spell Card, or its effect, gain 100 LP immediately after the card or effect resolves. You can only Special Summon ""Sky Striker Ace - Kaina(s)"" once per turn."
card.14558127.name,灰流丽,Ash Blossom & Joyous Spring
card.14558127.types,[怪兽|效果|调整] 不死/炎,[Monster|Effect|Tuner] Zombie/FIRE
card.14558127.desc,"这个卡名的效果1回合只能使用1次。
①：包含以下其中任意种效果的魔法·陷阱·怪兽的效果发动时，把这张卡从手卡丢弃才能发动。那个效果无效。
●从卡组把卡加入手卡的效果
●从卡组把怪兽特殊召唤的效果
●从卡组把卡送去墓地的效果","When a card or effect is activated that includes any of these effects (Quick Effect): You can discard this card; negate that effect.
● Add a card from the Deck to the hand.
● Special Summon from the Deck.
● Send a card from the Deck to the GY.
You can only use this effect of ""Ash Blossom & Joyous Spring"" once per turn."
card.14558128.name,灰流丽,Ash Blossom & Joyous Spring
card.14558128.types,[怪兽|效果|调整] 不死/炎,[Monster|Effect|Tuner] Zombie/FIRE
card.14558128.desc,"这个卡名的效果1回合只能使用1次。
①：包含以下其中任意种效果的魔法·陷阱·怪兽的效果发动时，把这张卡从手卡丢弃才能发动。那个效果无效。
●从卡组把卡加入手卡的效果
●从卡组把怪兽特殊召唤的效果
●从卡组把卡送去墓地的效果","When a card or effect is activated that includes any of these effects (Quick Effect): You can discard this card; negate that effect.
● Add a card from the Deck to the hand.
● Special Summon from the Deck.
● Send a card from the Deck to the GY.
You can only use this effect of ""Ash Blossom & Joyous Spring"" once per turn."
card.17217034.name,合体术式-交闪零式,Combined Maneuver - Engage Zero!
card.17217034.types,[怪兽|效果|连接] 机械/光,[Monster|Effect|Link] Machine/LIGHT
card.17217034.desc,"光·暗属性怪兽2只
这个卡名在规则上也当作「闪刀姬」卡使用。自己对「合体术式-交闪零式」1回合只能有1次特殊召唤，这张卡不能作为连接素材。
①：这张卡特殊召唤的场合，以场上1只攻击力2500以上的怪兽为对象才能发动。那只怪兽的效果直到回合结束时无效。
②：自己墓地有「闪刀姬-零衣」以及「闪刀姬-露世」存在的场合，这张卡攻击的伤害步骤开始时才能发动。对方场上的怪兽全部破坏。","2 LIGHT and/or DARK monsters
(This card is always treated as a ""Sky Striker Ace"" card.)
You can only Special Summon ""Combined Maneuver - Engage Zero!(s)"" once per turn. Cannot be used as Link Material. If this card is Special Summoned: You can target 1 monster on the field with 2500 or more ATK; negate its effects until the end of this turn. At the start of the Damage Step, if this card attacks, while you have ""Sky Striker Ace - Raye"" and ""Sky Striker Ace - Roze"" in your GY: You can destroy all monsters your opponent controls."
card.17955766.name,新空间侠·水波海豚,Neo-Spacian Aqua Dolphin
card.17955766.types,[怪兽|效果] 战士/水,[Monster|Effect] Warrior/WATER
card.17955766.desc,①：1回合1次，丢弃1张手卡才能发动。把对方手卡确认，选那之内的1只怪兽。持有选的怪兽的攻击力以上的攻击力的怪兽在自己场上存在的场合，选的怪兽破坏，给与对方500伤害。那以外的场合，自己受到500伤害。,"Once per turn: You can discard 1 card; look at your opponent's hand and choose 1 monster. If you control a monster with ATK greater than or equal to the ATK of the chosen card, destroy the chosen card, and if you do, inflict 500 damage to your opponent. Otherwise, take 500 damage."
card.18963306.name,银河眼光波龙,Galaxy-Eyes Cipher Dragon
card.18963306.types,[怪兽|效果|超量] 龙/光,[Monster|Effect|Xyz] Dragon/LIGHT
card.18963306.desc,"8星怪兽×2
①：1回合1次，把这张卡1个超量素材取除，以对方场上1只表侧表示怪兽为对象才能发动。那只怪兽的控制权直到结束阶段得到。这个效果得到控制权的怪兽的效果无效化，攻击力变成3000，卡名当作「银河眼光波龙」使用。这个效果的发动后，直到回合结束时这张卡以外的自己怪兽不能直接攻击。","2 Level 8 monsters
Once per turn: You can detach 1 Xyz Material from this card, then target 1 face-up monster your opponent controls; monsters you control cannot attack your opponent directly for the rest of this turn, except this card, also take control of the targeted monster until the End Phase, but while this effect is applied, it has its effects negated, its ATK becomes 3000, also its name becomes ""Galaxy-Eyes Cipher Dragon""."
card.19222426.name,元素英雄 雷霆巨人-电流雷击,Elemental HERO Thunder Giant - Voltic Thunder
card.19222426.types,[怪兽|效果|融合] 战士/光,[Monster|Effect|Fusion] Warrior/LIGHT
card.19222426.desc,"属性不同的「元素英雄」怪兽×2
这张卡不用融合召唤不能特殊召唤。这个卡名的①②的效果1回合各能使用1次。
①：这张卡特殊召唤的场合，若对方场上的卡数量比自己场上的卡多则能发动。场上的其他卡全部破坏。
②：把用通常怪兽为素材作融合召唤的这张卡解放，以自己墓地1只「元素英雄」怪兽为对象才能发动。那只怪兽特殊召唤。","2 ""Elemental HERO"" monsters with different Attributes
Must be Fusion Summoned. If this card is Special Summoned and your opponent controls more cards than you do: You can destroy all other cards on the field. You can Tribute this card that was Fusion Summoned using a Normal Monster(s) as material, then target 1 ""Elemental HERO"" monster in your GY; Special Summon it. You can only use each effect of ""Elemental HERO Thunder Giant - Voltic Thunder"" once per turn."
card.19324993.name,特异英雄 地狱裂魔,Xtra HERO Infernal Devicer
card.19324993.types,[怪兽|效果|连接] 恶魔/暗,[Monster|Effect|Link] Fiend/DARK
card.19324993.desc,"「英雄」怪兽2只
这个卡名的①的效果1回合只能使用1次。
①：这张卡连接召唤的场合才能发动（这个效果发动的回合，自己不是「英雄」怪兽不能特殊召唤）。额外卡组1只「英雄」融合怪兽给对方观看，那只怪兽有卡名记述的最多2只融合素材怪兽从卡组加入手卡（同名卡最多1张）。
②：这张卡所连接区的恶魔族怪兽的攻击力·守备力上升自身的等级×100。","2 ""HERO"" monsters
If this card is Link Summoned: You can reveal 1 ""HERO"" Fusion Monster in your Extra Deck, and if you do, add up to 2 of the Fusion Materials listed on that card, with different names, from your Deck to your hand. You cannot Special Summon monsters the turn you activate this effect, except ""HERO"" monsters. You can only use this effect of ""Xtra HERO Infernal Devicer"" once per turn. Fiend monsters this card points to gain ATK/DEF equal to its Level x 100."
card.20357457.name,未来之柱-奇亚诺丝,Pillar of the Future - Cyanos
card.20357457.types,[怪兽|效果] 机械/光,[Monster|Effect] Machine/LIGHT
card.20357457.desc,"这个卡名在规则上也当作「闪刀」卡使用。这个卡名的①②③的效果1回合各能使用1次。
①：从手卡丢弃1张魔法卡才能发动。这张卡从手卡特殊召唤。
②：这张卡召唤·特殊召唤的场合才能发动。从自己的卡组·墓地把1只「闪刀姬-露世」特殊召唤。这个回合，自己不是机械族怪兽不能从额外卡组特殊召唤。
③：把墓地的这张卡除外才能发动。选自己的墓地·除外状态的1只「闪刀姬-露世」加入手卡或特殊召唤。","(This card is always treated as a ""Sky Striker"" card.)
You can discard 1 Spell; Special Summon this card from your hand. If this card is Normal or Special Summoned: You can Special Summon 1 ""Sky Striker Ace - Roze"" from your Deck or GY, also you cannot Special Summon from the Extra Deck for the rest of this turn, except Machine monsters. You can banish this card from your GY; take 1 of your ""Sky Striker Ace - Roze"" that is banished or in your GY, and either add it to your hand or Special Summon it. You can only use each effect of ""Pillar of the Future - Cyanos"" once per turn."
card.21143940.name,假面变化,Mask Change
card.21143940.types,[魔法|速攻],[Spell|Quick-Play]
card.21143940.desc,①：以自己场上1只「英雄」怪兽为对象才能发动。把那只怪兽的属性确认，送去墓地。这个效果让那只怪兽从场上离开的场合，再把持有相同属性的1只「假面英雄」怪兽从额外卡组特殊召唤。,"Target 1 ""HERO"" monster you control; send it to the GY, also, after that, if it left the field by this effect, Special Summon 1 ""Masked HERO"" monster from your Extra Deck with the same Attribute that the sent monster had when it was on the field (its original Attribute, if face-down)."
card.22908820.name,元素英雄 日出侠,Elemental HERO Sunrise
card.22908820.types,[怪兽|效果|融合] 战士/光,[Monster|Effect|Fusion] Warrior/LIGHT
card.22908820.desc,"属性不同的「英雄」怪兽×2
这张卡不用融合召唤不能特殊召唤。这个卡名的①③的效果1回合各能使用1次。
①：这张卡特殊召唤的场合才能发动。从卡组把1张「奇迹融合」加入手卡。
②：自己场上的怪兽的攻击力上升自己场上的怪兽的属性种类×200。
③：其他的自己的「英雄」怪兽进行战斗的攻击宣言时，以场上1张卡为对象才能发动。那张卡破坏。","2 ""HERO"" monsters with different Attributes
Must be Fusion Summoned. Monsters you control gain 200 ATK for each different Attribute you control. You can only use each of the following effects of ""Elemental HERO Sunrise"" once per turn.
● If this card is Special Summoned: You can add 1 ""Miracle Fusion"" from your Deck to your hand.
● When an attack is declared involving another ""HERO"" monster you control: You can target 1 card on the field; destroy it."
card.23204029.name,对极英雄 混沌侠,Contrast HERO Chaos
card.23204029.types,[怪兽|效果|融合] 战士/暗,[Monster|Effect|Fusion] Warrior/DARK
